"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Ло́ша","ж.","-шы, -шай і -шаю, -шы","Loša","Лоша"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Малы́я Пушчавы́я","мн.","-лы́х -вы́х, -лы́мі -вы́мі, -лы́х -вы́х","Malyja Puščavyja","Малые Пущевые"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Мешкуці́","мн.","-куцёў, -ця́мі, -ця́х","Mieškuci","Мешкути"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Мікша́ны","мн.","-ша́н і -ша́наў, -намі, -нах","Mikšany","Микшаны"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Міндзя́ны","мн.","-дзя́н і -дзя́наў, -намі, -нах","Mindziany","Миндяны"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Па́лушы","мн.","-луш і -лушаў, -шамі, -шах","Palušy","Палуши"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Паракі́ці","мн.","-цяў, -цямі, -цях","Parakici","Поракити"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Рабіно́ўка","ж.","-кі, -кай і -каю, -ўцы","Rabinoŭka","Рябиновка"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Расо́лы","мн.","-со́л і -со́лаў, -ламі, -лах","Rasoly","Расолы"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Рукша́ны","мн.","-ша́н і -ша́наў, -намі, -нах","Rukšany","Рукшаны"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Рыму́ні","мн.","-му́нь і -му́няў, -нямі, -нях","Rymuni","Рымуни"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Сасно́ўка","ж.","-кі, -кай і -каю, -ўцы","Sasnoŭka","Сосновка"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Се́лішчы","мн.","-чаў, -чамі, -чах","Sieliščy","Селищи"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Сібіро́к","м.","-рка́, -рко́м, -рку́","Sibirok","Сибирок"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Слабо́дка","ж.","-кі, -кай і -каю, -дцы","Slabodka","Слободка"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Смілгі́","мн.","-го́ў, -га́мі, -га́х","Smilhi","Смилги"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Стасю́кішкі","мн.","-шак і -шкаў, -камі, -ках","Stasiukiški","Стасюкишки"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","х.","Сяржа́нты","мн.","-таў, -тамі, -тах","Siaržanty","Сержанты"
"Гродзенская","АСТРАВЕЦКІ","ГУДАГАЙСКІ","в.","Трайгі́","мн.","-го́ў, -га́мі, -га́х","Trajhi","Трайги"
